Title,date,detailURL,views
2021년 2월 공학인증 졸업예정자 제출서류 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1866&search=&keyword=&temp1=&offset=9,770
학술정보원 AI 도서전 안내,2020.11.13,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1886&search=&keyword=&temp1=&offset=9,692
"[SW교육지원팀] 2021-1학기 SW융합전공, SW복수(부)전공 설명회..",2020.11.12,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1878&search=&keyword=&temp1=&offset=9,595
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
2020-2학기 이재성 교수님 정기상담 일정 안내,2020.11.10,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1875&search=&keyword=&temp1=&offset=9,712
2020-2학기 이찬근 교수님 정기상담 일정 안내,2020.11.12,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1881&search=&keyword=&temp1=&offset=9,649
2020-2학기 이창하 교수님 정기상담 일정 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1870&search=&keyword=&temp1=&offset=9,685
2020-2학기 박창윤 교수님 정기상담 일정 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1868&search=&keyword=&temp1=&offset=9,639
2020-2학기 김성권 교수님 정기상담 일정 안내,2020.11.10,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1872&search=&keyword=&temp1=&offset=9,674
2020-2학기 손봉수 교수님 정기상담 일정 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1871&search=&keyword=&temp1=&offset=9,679
2021년 2월 졸업예정자(복수전공자포함)졸업예정신고서 제..,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1867&search=&keyword=&temp1=&offset=9,703
마이크로소프트 교육총판 디모아 (실습실 랩 서비스 안내),2021.02.17,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1974&search=&keyword=&temp1=&offset=2,430
중앙대학교 소프트웨어학부 카페 가입 안내입니다.,2021.03.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1984&search=&keyword=&temp1=&offset=2,733
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
[브랜디] 스타트업 코딩 페스티벌 ‘스코페2021’ 개최 안내,2021.02.25,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1980&search=&keyword=&temp1=&offset=2,517
신학기 각종 모임 및 행사 자제 협조 요청,2021.02.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1981&search=&keyword=&temp1=&offset=2,444
AIIA Journal Vol.43 발간 안내,2021.02.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1982&search=&keyword=&temp1=&offset=2,543
(주)이덕아이앤씨 (알레르망) 장학생 신청 안내,2021.02.24,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1977&search=&keyword=&temp1=&offset=2,436
